year,N0
1950,81.712
1951,83.459
1952,86.145
1953,88.319
1954,89.85
1955,91.878
1956,92.828
1957,94.998
1958,96.395
1959,94.29
1960,92.745
1961,92.566
1962,97.912
1963,107.114
1964,109.713
1965,108.842
1966,108.92
1967,108.541
1968,110.814
1969,113.365
1970,114.466
1971,115.411
1972,115.301
1973,115.298
1974,114.955
1975,113.765
1976,113.157
1977,113.088
1978,113.444
1979,115.527
1980,118.226
1981,120.687
1982,123.567
1983,124.583
1984,125.07
1985,127.239
1986,129.854
1987,132.512
1988,133.264
1989,133.604
1990,134.885
1991,133.144
1992,130.019
1993,128.887
1994,128.272
1995,127.897
1996,127.51
1997,127.089
1998,126.804
1999,126.796
2000,127.784
2001,128.679
2002,128.856
2003,129.211
2004,129.892
2005,130.71
2006,131.602
2007,133.048
2008,134.766
2009,136.155
2010,136.963
2011,137.609
2012,139.071
2013,139.784
2014,139.591
2015,139.31
2016,139.262
2017,139.421
2018,137.69
2019,135.471
2020,133.345
2021,131.409