year,N
1950,543.979233
1951,553.613988
1952,564.954522
1953,577.378682
1954,589.936004
1955,603.320147
1956,616.283022
1957,630.003025
1958,643.791581
1959,652.179194
1960,654.170692
1961,655.26038
1962,664.61465
1963,683.903557
1964,704.593772
1965,723.846349
1966,742.948541
1967,761.00626
1968,780.371956
1969,801.430976
1970,822.53445
1971,843.285424
1972,862.840403
1973,881.65208
1974,899.36764
1975,915.124661
1976,929.375924
1977,942.581333
1978,955.138943
1979,968.298969
1980,982.372466
1981,997.259502
1982,1013.483166
1983,1029.226907
1984,1044.172197
1985,1060.239979
1986,1077.770523
1987,1096.851843
1988,1115.889802
1989,1134.414723
1990,1153.704252
1991,1170.626171
1992,1183.813389
1993,1195.855558
1994,1207.286675
1995,1218.144426
1996,1228.298836
1997,1237.801448
1998,1246.836105
1999,1255.433236
2000,1264.099069
2001,1272.739582
2002,1280.92612
2003,1288.873367
2004,1296.816711
2005,1304.887562
2006,1313.086567
2007,1321.513224
2008,1330.167148
2009,1339.125595
2010,1348.191368
2011,1357.095481
2012,1366.560818
2013,1376.100308
2014,1385.189668
2015,1393.715448
2016,1401.889681
2017,1410.275957
2018,1417.069468
2019,1421.864031
2020,1424.929781
2021,1425.893465