year,SSA,SSAr,NAWA,NAWAr,CSA,CSAr,ESEA,ESEAr,LAC,LACr,OC,OCr,EUNA,EUNAr,OCnANZ,OCnANZr
1950,175.98244,0.019677803,98.814391,0.023855011,476.561076,0.021129637,829.019819,0.017800055,165.627351,0.025687177,12.409479,0.02743208,713.009446,0.010789589,2.467891,0.020962817
1951,179.479684,0.020126651,101.19995,0.024601191,486.737775,0.021914833,843.908534,0.017769663,169.936964,0.026040674,12.754609,0.024843577,720.744177,0.010273177,2.520171,0.019678359
1952,183.128606,0.020378617,103.720466,0.025362043,497.522291,0.022482742,859.038534,0.022325908,174.420359,0.026281447,13.075448,0.02320892,728.186673,0.010783454,2.570255,0.023265001
1953,186.898799,0.02040434,106.384671,0.025737708,508.834646,0.022279219,878.433044,0.020818511,179.065147,0.026452799,13.382464,0.021377178,736.081531,0.011338221,2.630753,0.024376665
1954,190.751518,0.020939518,109.158309,0.025662175,520.298311,0.023389682,896.912401,0.022566825,183.865128,0.026694244,13.671623,0.02208889,744.474879,0.011470046,2.69567,0.024988346
1955,194.787875,0.021340728,111.995801,0.025619508,532.611361,0.023605966,917.382975,0.022685822,188.839365,0.026842032,13.976974,0.023771416,753.0632,0.011564062,2.763879,0.025969614
1956,198.989463,0.021765326,114.902149,0.026806428,545.333738,0.023995315,938.432421,0.021186916,193.976839,0.027040565,14.313207,0.023644819,761.822217,0.011461699,2.836596,0.026673479
1957,203.368011,0.021495243,118.02392,0.026164698,558.577451,0.023106223,958.52703,0.023829559,199.293643,0.027135523,14.655673,0.022875378,770.604226,0.012375167,2.913276,0.026751402
1958,207.786777,0.021344481,121.152734,0.025857426,571.634333,0.024307045,981.64263,0.020956512,204.775622,0.027186836,14.994791,0.022562206,780.199833,0.012267418,2.992262,0.027021262
1959,212.269549,0.023089883,124.326285,0.026543027,585.699321,0.024474901,1002.431506,0.012706984,210.419191,0.027368823,15.336952,0.022300893,789.829817,0.011903224,3.074219,0.027052045
1960,217.227851,0.023590983,127.670467,0.026251742,600.211117,0.02479188,1015.250661,0.008018709,216.257648,0.02745878,15.682822,0.022630845,799.287515,0.011895425,3.158518,0.027166799
1961,222.413395,0.023987643,131.066419,0.026163913,615.277469,0.025121312,1023.424388,0.009957136,222.278098,0.027629759,16.041784,0.021550899,808.852155,0.011905776,3.245501,0.024847554
1962,227.813072,0.024372668,134.540884,0.026846205,630.929827,0.024690645,1033.665666,0.023715738,228.505219,0.027548618,16.391251,0.020451076,818.539722,0.011413099,3.327154,0.02481082
1963,233.433701,0.024645616,138.201716,0.026734827,646.7018,0.024879271,1058.472807,0.028945617,234.887733,0.027412187,16.729921,0.020626605,827.935311,0.01089153,3.410736,0.024408705
1964,239.258299,0.025168957,141.946348,0.026524401,662.993087,0.024720318,1089.558685,0.025560556,241.415582,0.027117902,17.078586,0.020369871,837.002079,0.010418097,3.495012,0.023907548
1965,245.356603,0.025395414,145.761767,0.025909588,679.586742,0.023651547,1117.76739,0.024719616,248.05184,0.026736837,17.430042,0.021210639,845.767629,0.009591796,3.579576,0.023916255
1966,251.667328,0.0254653,149.587745,0.02731304,695.851606,0.023094239,1145.742513,0.023747814,254.773418,0.026296209,17.803693,0.020241311,853.919091,0.009109371,3.666218,0.023947645
1967,258.15841,0.025933533,153.729749,0.027214826,712.10877,0.023796391,1173.277041,0.02263125,261.561857,0.025838008,18.167735,0.017905976,861.733294,0.008262402,3.755075,0.022561745
1968,264.940937,0.026329522,157.970927,0.027334927,729.25762,0.02312489,1200.132507,0.02574616,268.408161,0.025354741,18.495976,0.018628364,868.882776,0.008195154,3.840759,0.022942705
1969,272.009351,0.026279502,162.34861,0.027106482,746.318123,0.023035177,1231.432509,0.024776331,275.300589,0.024954771,18.843755,0.019931902,876.032661,0.008060275,3.929895,0.023518337
1970,279.252376,0.026718282,166.809496,0.026436792,763.709228,0.024088941,1262.323997,0.024555639,282.25709,0.024385832,19.223115,0.027774596,883.122259,0.007256575,4.023415,0.023973544
1971,286.814088,0.026513207,171.278213,0.026604809,782.329546,0.021187375,1293.704881,0.022905927,289.224775,0.024262184,19.764513,0.027074692,889.55401,0.008572298,4.121036,0.023768454
1972,294.520154,0.02648892,175.896195,0.026416019,799.081898,0.023952009,1323.680388,0.021860331,296.327819,0.023986433,20.306941,0.018235151,897.21231,0.007746181,4.22016,0.023176784
1973,302.42592,0.02751169,180.604587,0.027214409,818.452572,0.023868524,1352.935073,0.020958782,303.521598,0.023780866,20.680638,0.017751922,904.189266,0.007132513,4.319112,0.022460261
1974,310.861677,0.027897683,185.587125,0.026242852,838.222832,0.024604082,1381.590183,0.019162465,310.826114,0.02341085,21.051037,0.016664065,910.661462,0.006759371,4.417218,0.022368964
1975,319.656099,0.027947796,190.521929,0.028057184,859.102343,0.02445459,1408.320145,0.017077033,318.188663,0.023122879,21.404772,0.013991417,916.837811,0.006151104,4.51714,0.022071833
1976,328.715792,0.027896126,195.943134,0.028455471,880.370329,0.024477635,1432.576599,0.01611314,325.631823,0.022807733,21.70636,0.012432007,922.494756,0.006257981,4.61795,0.02175897
1977,338.014789,0.027223982,201.598875,0.0279259,902.185617,0.024750423,1455.846881,0.015116462,333.14409,0.022851703,21.977898,0.012332741,928.285812,0.006256643,4.719533,0.021418161
1978,347.343301,0.030072308,207.308051,0.028468729,924.793719,0.023833068,1478.021313,0.014954093,340.84465,0.022644288,22.250624,0.011840037,934.111972,0.005989712,4.821707,0.0213733
1979,357.947361,0.029125427,213.294659,0.02775576,947.099138,0.024844611,1500.289869,0.015603503,348.650884,0.022330049,22.515638,0.012161028,939.723824,0.006245794,4.925872,0.021240288
1980,368.526037,0.028362426,219.297739,0.029151775,970.924184,0.024574843,1523.883237,0.015787077,356.52385,0.022022484,22.791123,0.014203043,945.611513,0.006681276,5.031618,0.021563002
1981,379.127967,0.030404469,225.784752,0.028110467,995.080092,0.0247469,1548.131802,0.016206485,364.462484,0.021433634,23.117136,0.016306211,951.950557,0.005866653,5.141293,0.021863792
1982,390.83218,0.030596994,232.221716,0.028597003,1020.012467,0.024674179,1573.425988,0.017203936,372.358558,0.021327773,23.497179,0.016304542,957.551735,0.005696127,5.254939,0.021744052
1983,402.975294,0.028518247,238.958427,0.028308228,1045.493506,0.024717823,1600.729297,0.015495201,380.38543,0.021282296,23.88343,0.015019228,963.021635,0.005733748,5.370454,0.021921267
1984,414.63288,0.029493049,245.819572,0.028059223,1071.65786,0.024486831,1625.726084,0.015884068,388.567665,0.020890177,24.244848,0.014404853,968.559219,0.005538801,5.489481,0.021899519
1985,427.043786,0.029515979,252.814759,0.026695529,1098.223289,0.024310063,1651.755406,0.016168289,396.770291,0.020431816,24.596619,0.014579928,973.93876,0.005599832,5.611024,0.022012656
1986,439.836264,0.029193584,259.654674,0.026936833,1125.248326,0.024262492,1678.678529,0.016909263,404.960413,0.019956186,24.957863,0.015240121,979.407952,0.005834382,5.735907,0.0215421
1987,452.865927,0.029482318,266.744002,0.026098253,1152.883549,0.023740348,1707.305091,0.01747467,413.123055,0.019627295,25.341137,0.01590185,985.138894,0.005766379,5.860811,0.02084002
1988,466.41623,0.02813458,273.797192,0.025535154,1180.580877,0.023453779,1737.401884,0.016437112,421.31164,0.019341529,25.747329,0.01608651,990.835988,0.005993781,5.984232,0.020423898
1989,479.724995,0.028696043,280.878674,0.025252358,1208.59722,0.023186598,1766.195749,0.016490568,429.539767,0.018915143,26.164863,0.016061124,996.792676,0.005585643,6.10771,0.021311281
1990,493.690625,0.027827884,288.061837,0.020513174,1236.947886,0.022650093,1795.562795,0.016871548,437.741901,0.01875094,26.588493,0.018670624,1002.375983,0.006058754,6.23927,0.024223131
1991,507.621931,0.027065895,294.031923,0.025061431,1265.284573,0.022244525,1826.113714,0.013200594,446.027411,0.018003807,27.08958,0.016504212,1008.467568,0.005467802,6.39225,0.027347754
1992,521.548794,0.027408055,301.493897,0.023381104,1293.745605,0.02194402,1850.379308,0.012725323,454.130325,0.017849838,27.540382,0.014844119,1013.996772,0.003635529,6.569476,0.028601243
1993,536.041128,0.027743819,308.626213,0.024296964,1322.449371,0.020685913,1874.07644,0.011816731,462.309257,0.017170825,27.952244,0.014335734,1017.689896,0.00372871,6.760084,0.028420477
1994,551.121178,0.025514203,316.216733,0.022130488,1350.090348,0.020284715,1896.353257,0.01127743,470.316033,0.016896545,28.355846,0.015182522,1021.49165,0.004174504,6.954965,0.028159514
1995,565.363514,0.02742293,323.292773,0.021661942,1377.756194,0.020282128,1917.860292,0.010982321,478.330265,0.016507546,28.789644,0.016213004,1025.764784,0.002730896,7.153597,0.02799833
1996,581.081976,0.026450748,330.372324,0.02076032,1405.985327,0.019853328,1939.038931,0.01064532,486.291856,0.016082844,29.260215,0.016145865,1028.569869,0.003009551,7.356716,0.028659744
1997,596.657108,0.026408686,337.302648,0.020794321,1434.177745,0.019606652,1959.79088,0.010149179,494.176042,0.015751608,29.736481,0.015205229,1031.670065,0.002719749,7.570608,0.029110848
1998,612.623942,0.026897271,344.390061,0.020548817,1462.574643,0.019380449,1979.782426,0.009681184,502.021738,0.015617866,30.192086,0.014969102,1034.479768,0.001848098,7.794234,0.028443214
1999,629.32546,0.026555689,351.54008,0.020155545,1491.196452,0.01934882,1999.042141,0.008878255,509.923792,0.014969201,30.647434,0.015050218,1036.393356,0.002568752,8.01911,0.028316179
2000,646.26151,0.026723983,358.69745,0.020760388,1520.330287,0.018848715,2016.869167,0.009107598,517.614361,0.014229346,31.112173,0.015338794,1039.059016,0.003084913,8.249426,0.027063399
2001,663.765032,0.026909056,366.221984,0.020250055,1549.258331,0.018822472,2035.321903,0.008341916,525.032326,0.013595965,31.593075,0.015940353,1042.269372,0.003038964,8.475732,0.02653741
2002,681.868808,0.027046816,373.713596,0.020391277,1578.695372,0.017550157,2052.371402,0.007698888,532.219394,0.013147781,32.100715,0.016374003,1045.441609,0.004637605,8.703667,0.026204856
2003,700.562856,0.02723703,381.41232,0.019570778,1606.646277,0.017833605,2068.233361,0.007497951,539.263101,0.012621961,32.630659,0.016025918,1050.301214,0.003697048,8.93476,0.025947104
2004,719.906341,0.027479382,388.950378,0.020152519,1635.555584,0.017370332,2083.799157,0.00731207,546.112796,0.012306477,33.157808,0.015616731,1054.191415,0.003974919,9.169625,0.025525491
2005,739.963236,0.02745701,396.868222,0.020393084,1664.213909,0.016575001,2099.091884,0.00763225,552.875045,0.011999662,33.679689,0.016266479,1058.39008,0.003657444,9.406697,0.025123305
2006,760.561909,0.027501533,405.044677,0.021008536,1692.028129,0.016353031,2115.173971,0.0076273,559.549323,0.011745889,34.232019,0.017835805,1062.26817,0.003816719,9.646018,0.024883301
2007,781.768802,0.027647137,413.644087,0.021905055,1719.925399,0.015135425,2131.368719,0.007788568,566.160478,0.011616321,34.848052,0.019418223,1066.330296,0.004917448,9.889054,0.024538861
2008,803.684022,0.027756288,422.804952,0.022110097,1746.155199,0.015158264,2148.033844,0.00776706,572.775527,0.011365737,35.531352,0.019988609,1071.586834,0.004670028,10.134722,0.023964105
2009,826.303775,0.027382539,432.257322,0.021199703,1772.825507,0.015386388,2164.782713,0.008007913,579.322679,0.011064209,36.24872,0.018828206,1076.602878,0.004279843,10.380525,0.023866229
2010,849.2427,0.027947613,441.518873,0.020453343,1800.313819,0.014916402,2182.1877,0.007898413,585.768017,0.01066332,36.937684,0.016969537,1081.220444,0.004265552,10.631249,0.024743155
2011,873.311776,0.02740642,450.642395,0.021034497,1827.369307,0.014637719,2199.491767,0.007640457,592.04767,0.010735279,37.569848,0.016887099,1085.842296,0.004234767,10.897581,0.023525997
2012,897.57712,0.027581922,460.221827,0.021732419,1854.314552,0.013842504,2216.361252,0.008489318,598.437705,0.010436719,38.209681,0.017665206,1090.450335,0.003977223,11.156997,0.022835427
2013,922.678604,0.027530046,470.333033,0.02214736,1880.161388,0.013334775,2235.25674,0.007601848,604.716137,0.010270477,38.89066,0.017482248,1094.795935,0.004020239,11.414703,0.022311797
2014,948.43287,0.026739918,480.865875,0.022986302,1905.400825,0.012730131,2252.313571,0.007524495,610.958863,0.009955449,39.576534,0.017130424,1099.206135,0.004193879,11.672248,0.021628911
2015,974.136006,0.026880711,492.04722,0.022202413,1929.811875,0.012109119,2269.325014,0.006600738,617.07161,0.009583282,40.260337,0.017449381,1103.825753,0.00474571,11.927456,0.020774855
2016,1000.676591,0.025831302,503.094035,0.019411867,1953.322254,0.012338712,2284.35378,0.007004211,623.013608,0.00929526,40.96902,0.018279912,1109.07664,0.004650124,12.177839,0.02021604
2017,1026.862117,0.02612822,512.955434,0.017609144,1977.573039,0.011918969,2300.410042,0.006565299,628.83168,0.008688659,41.724817,0.017525061,1114.245994,0.004159077,12.426532,0.019655427
2018,1054.04578,0.02615504,522.068138,0.016673312,2001.284699,0.011786518,2315.562608,0.005042836,634.319189,0.008455059,42.462492,0.016474188,1118.889879,0.003839832,12.673197,0.018978414
2019,1081.978082,0.025650387,530.845715,0.016766219,2025.012436,0.011507751,2327.269103,0.004307135,639.705132,0.007755945,43.167821,0.015464014,1123.194487,0.003570395,12.916011,0.017812143
2020,1110.090241,0.02566824,539.821021,0.015178573,2048.450375,0.011157583,2337.314584,0.002740322,644.68594,0.006319338,43.840557,0.010817826,1127.211903,8.25E-05,13.148134,0.017663702
2021,1138.953149,0.024831539,548.077234,0.015748067,2071.434114,0.009318122,2343.728363,0.001290072,648.772828,0.005203862,44.317391,0.010809359,1127.304884,8.97E-05,13.382442,0.016549169
2022,1167.589175,0.024658665,556.776711,0.020028383,2090.826199,0.010450955,2346.753893,0.001200445,652.157752,0.006751707,44.799032,0.011113171,1127.406058,7.15E-05,13.605753,0.016167296
2023,1196.738277,,568.040469,,2112.791911,,2349.572733,,656.575828,,45.299668,,1127.486678,,13.827509,